dato 	 dir 	 RTC 	 VGA 	 Tec 	 son 	 w 	 r 
  0 	   2 	 1 	 0 	 0 	 0 	 0 	 0 
  0 	   0 	 1 	 0 	 0 	 0 	 0 	 1 
 16 	   2 	 1 	 0 	 0 	 0 	 0 	 0 
  1 	   0 	 1 	 0 	 0 	 0 	 0 	 1 
  0 	 240 	 1 	 0 	 0 	 0 	 0 	 0 
  1 	   0 	 1 	 0 	 0 	 0 	 0 	 1 
  4 	   0 	 1 	 0 	 0 	 0 	 0 	 0 
  1 	   0 	 1 	 0 	 0 	 0 	 0 	 1 
 16 	   0 	 1 	 0 	 0 	 0 	 0 	 0 
  0 	  33 	 1 	 0 	 0 	 0 	 0 	 0 
 17 	   0 	 1 	 0 	 0 	 0 	 0 	 0 
 18 	  34 	 1 	 0 	 0 	 0 	 0 	 0 
  0 	 240 	 1 	 0 	 0 	 0 	 0 	 0 
  0 	  34 	 1 	 0 	 0 	 0 	 0 	 0 
  1 	 240 	 1 	 0 	 0 	 0 	 0 	 0 
 18 	   0 	 1 	 0 	 0 	 0 	 0 	 0 
  8 	  33 	 1 	 0 	 0 	 0 	 0 	 0 
  1 	  33 	 1 	 0 	 0 	 0 	 0 	 0 
  1 	  33 	 1 	 0 	 0 	 0 	 0 	 0 
  1 	  34 	 1 	 0 	 0 	 0 	 0 	 0 
  1 	  34 	 1 	 0 	 0 	 0 	 0 	 0 
  1 	  35 	 1 	 0 	 0 	 0 	 0 	 0 
  1 	  35 	 1 	 0 	 0 	 0 	 0 	 0 
  1 	  36 	 1 	 0 	 0 	 0 	 0 	 0 
  1 	  36 	 1 	 0 	 0 	 0 	 0 	 0 
